848.7 cM match
relationship:1C (avg 850)

"Chr","cM","Match","Mismatch"
"1","79.2","28.1%","71.9%"
"2","62.6","23.7%","76.3%"
"3","108.6","48.4%","51.6%"
"4","83.1","38.8%","61.2%"
"5","77.2","36.9%","63.1%"
"6","154.5","79.6%","20.4%"
"7","48.6","26%","74%"
"8","100.2","59.2%","40.8%"
"9","134.7","80.6%","19.4%"
"10","-","-","-"
"11","-","-","-"
"12","-","-","-"
"13","-","-","-"
"14","-","-","-"
"15","-","-","-"
"16","-","-","-"
"17","-","-","-"
"18","-","-","-"
"19","-","-","-"
"20","-","-","-"
"21","-","-","-"
"22","-","-","-"
"X","-","-","-"
"Y","-","-","-"
