1012.6 cM match
relationship:1C (avg 850)

"Chr","cM","Match","Mismatch"
"1","189.6","67.3%","32.7%"
"2","147.5","55.9%","44.1%"
"3","84.6","37.8%","62.2%"
"4","88","41.1%","58.9%"
"5","137.2","65.6%","34.4%"
"6","56.7","29.2%","70.8%"
"7","135","72.2%","27.8%"
"8","59.3","35.1%","64.9%"
"9","114.6","68.5%","31.5%"
"10","-","-","-"
"11","-","-","-"
"12","-","-","-"
"13","-","-","-"
"14","-","-","-"
"15","-","-","-"
"16","-","-","-"
"17","-","-","-"
"18","-","-","-"
"19","-","-","-"
"20","-","-","-"
"21","-","-","-"
"22","-","-","-"
"X","-","-","-"
"Y","-","-","-"
